term,pos,comment,translation_es,comment_es
PGP,Noun,"""Pretty Good Privacy"" PGP is a commercial software for cyphering",PGP,"(La controversia sobre PGP o GPG es universal, y generalmente un término utiliza el otro para definirse, por lo que no hay una propuesta concreta)."
PIN,Noun,Personal Identification Number [Signal],NPI,Número Personal de Identificación
PV,Noun,"[QubesOS] ""Paravirtualization""An efficient and lightweight virtualization technique originally introduced by the Xen Project and later adopted by other virtualization platforms.",PV,Se utiliza paravirtualización
PVHVM,Noun,"[QubesOS] ""Paravirtualization on Hardware Virtual Machine""To boost performance, fully virtualized HVM guests can use special paravirtual device drivers (PVHVM or PV-on-HVM drivers).",PVHVM,
Padding,Noun,,,
Page Report,Noun,Type of report generated by Martus - not one page of a report.,Reporte de página,
Pane,Noun,,,
Panic,Noun,"Panic button, panic app",,
Passive adversary,Noun,"A passive adversary is one that can listen to your communications, but cannot directly tamper with them.
Source EFF.",,
Passphrase,Noun,,,
Password manager,Noun,"A tool that can encrypt and store your passwords using a single master password making it practical to use many different passwords on different sites and services without having to memorize them.
Synonyms: Secure password database; password safe.
Source EFF.",,
Password safe,Noun,"A tool that can encrypt and store your passwords using a single master password making it practical to use many different passwords on different sites and services without having to memorize them.
Synonyms: Secure password database, Password manager.
Source EFF.",,
Passwords field,Noun,,,
Passwords field ,Noun,,,
Peer-to-Peer (P2P),Adjective,,,
Perfect forward secrecy,Noun,"A property of a secure messaging system which ensures that your past communications can remain secure even if one of the private keys is stolen later. For HTTPS websites, forward secrecy is an important protection against adversaries like intelligence agencies which may record large amounts of traffic and use a stolen key to decrypt it. For  messaging and chat systems, forward secrecy is necessary to ensure that deleted messages are really deleted, but you will also need to either disable logging or securely delete past messages.
Synonyms: Forward secrecy.
Source EFF.",,
Permalink,Noun,,,
Persistence wizard,Noun,,,
Persistent Storage,Noun,,,
Personal information,Noun,,,
Photo story,Noun,,,
Phrases,Noun,,,
Pie Chart,Noun,[Martus],Gráfico circular,
Piece,Noun,,,
Plaintext,Noun,[Globaleaks] [Signal],,
Plan,Noun,,,
Plans,Noun,,,
Platform,Noun,[Globaleaks],,
Please,Adverb,,Por favor,
Pledge,,,,
Pluggable Transport,Noun,,,
Pluggable Transports Bundle,Noun,,,
Policy,Verb,,,
Pool,Noun,,,
Post,Noun,,,
Post,Verb,,,
Post-traumatic stress,Noun,,,
Posted,Verb,,,
Power Off,Verb,,apagar,
Powering,,,,
Powering Digital Resistance,,,,
Powering Digital Resisteance,,,,
Preparation,Noun,,,
Pretty Good Privacy,Noun,"PGP or Pretty Good Privacy was one of the first popular implementations of public key cryptography. Phil Zimmermann, its creator, wrote the program in 1991 to help activists and others protect their communications. He was formally investigated by the US government when the program spread outside the United States. At the time, exporting tools that included strong public key encryption was a violation of US law.
PGP continues to exist as a commercial software product. A free implementation of the same underlying standard that PGP uses called GnuPG (or GPG) is also available. Because both use the same interchangeable approach, people will refer to using a “PGP key” or sending a “PGP message”, even if they are using GnuPG. (Synonyms: PGP) (Source: EFF)",,
Primary,Noun,,primario,
Procedure,,,,
Proceed,Verb,,proceder,
Projects,Noun,,,
Promote,,,,
Protect,,,,
Protocol,Noun,"A communications protocol is a way of sending data between programs or computers. Software programs that use the same protocol can talk to each other: so web browsers and web servers speak the same protocol, called ""http"". Some protocols use encryption to protect their contents. The secure version of the http protocol is called ""https"". Another example of an encrypted protocol used by many different programs is OTR (Off-the-Record), a protocol for secure instant messaging.
Source EFF.",,
Province,Adjective,,,
Province,Noun,,estado,
ProxyVM,Noun,"[QubesOS] ""Proxy Virtual Machine""A type of VM which proxies network access for other VMs",ProxyVM,Ver TemplateVM
Pseudonym,Noun,"A name that you choose to use in some context (like an online forum) and that others may come to recognize, but that isn’t connected to names that people know you by in your day-to-day life.
Source EFF.",,
PsiCash,Noun,[Psiphon],,
Psiphon,Noun,"Name of an organization and application. Please do not translate this term. If needed, you can transcribe the organization / tool name. For example, the name is transcribed in Arabic, Persian and Amharic.",,
Public Information File (*.mpi),Noun,[Martus] Files containing the account's public information,Archivo de información pública (*.mpi),
Public key cryptography,Noun,,,
Public key encryption,Noun,"Traditional encryption systems use the same secret, or key, to encrypt and decrypt a message. So if I encrypted a file with the password ""bluetonicmonster"", you would need both the file and the secret ""bluetonicmonster"" to decode it. Public key encryption uses two keys: one to encrypt, and another to decrypt. This has all kinds of useful consequences. For one, it means that you can hand out the key to encrypt messages to you, and as long as you keep the other key secret, anyone with that key can talk to you securely. The key you hand out widely is known as the ""public key"": hence the name of the technique. Public key encryption is used to encrypt email and files by Pretty Good Privacy (PGP), OTR for  messaging, and SSL/TLS for web browsing.
Synonyms: Asymmetric key encryption, Public key cryptography.
Source EFF.",,
Public key servers,Noun,"If you plan to send a secure message to someone who uses public key cryptography like PGP, you need to know what key to use to encrypt your message. Public key servers act as a phonebook for such keys, allowing software to use an email address, name, or key fingerprint to search for a full key and download it. There are many PGP public key servers, but they usually share their key collections with each other. Keyservers can't verify whether the keys they publish are genuine or forgeries. Anyone can upload a key to a public key server—in anyone's name. That means that a key connected to a person's name or email on a keyserver might not be their real key. In order to check the authenticity of a key, you need to check its signatures, or confirm its fingerprint with the original user in a trustworthy way.

PGP allows you to sign other people's keys, which is a way of using your own key to assert that a certain key is the right one to use to contact another person. This is meant to provide a way of distinguishing between genuine and fake keys; if people sign the right keys for people they know and communicate with, others can use those signatures to confirm that the genuine keys are genuine. When you download a key from a key server, it may include signatures from other people who affirm that it's the right one. If you know those people and know that you have the right key for them, you can have more confidence in the newly downloaded key. This verification process is also called the web of trust. Its advantage is that it's decentralized and not controlled by any authority, so you don't have to believe a certain company or government about which keys to use when writing to new people. Instead, you can believe your own social networks. One important disadvantage of the web of trust is that publishing signatures for other people's keys tells the whole world who your contacts are; it creates public evidence that you know particular people. Also, using the web of trust correctly requires a good deal of time and attention, and some communities rarely or never participate. (Source: EFF)",,
Q&A,Noun,,,
QR Code,,,,
QR code,Noun,[Signal] [Orbot],código QR,
"QR code, code",Noun,[Signal],código QR,
Qubes Global Settings,Noun,[QubesOS],,
Qubes OS,Noun,"[QubesOS] Do not translate ""Qubes OS""",Qubes OS,"As it is the product name, it remains untranslated."
Query,Noun,,,
Questionnaire,,,,
RAM,Noun,,,
RMI,Noun,,,
ROM,Noun,[Signal],ROM (Memoria de solo lectura),
Randomization,Noun,,,
Rate,Noun,,,
Read,Verb,,,
ReadMe,Noun,The ReadMe file included with any new software release that describes changes to software,Leeme,
Reboot,Noun,,reiniciar,
Reboot,Verb,,,
Record ID,Noun,,Identificación del expediente,
Reference Guide,Noun,,Guía de referencia,
Referer,Noun,,,
Referer spoofing,Noun,,,
Refresh,Noun,,,
Refresh,Verb,,,
Registration Lock,Noun,[Signal],bloqueo de registro,
Reject,Verb,,rechazar,
Release key,Noun,,,
Removable media,Noun,,,
Removable media drive,Noun,,,
Repliable datagram,Noun,,,
Required,Adjective,,,
Reseed,Verb,,,
Retry,Verb,,,
Retweet,Noun,,,
Retweet,Verb,,,
Reusable Choice,Noun,,,
Revocation certificate,Noun,"What happens if you lose access to a secret key, or it stops being secret? A revocation certificate is a file that you can generate that announces that you no longer trust that key. You generate it when you still have the secret key, and keep it for any future disaster.
Source EFF.",,
Reward,Noun,,,
Rich Text,Noun,,,
Ring Tone,Noun,,,
Rip,Noun,,,
Risk analysis,Noun,"In computer security, risk analysis is calculating the chance that threats might succeed, so you know how much effort to spend defending against them. There may be many different ways that you might lose control or access to your data, but some of them are less likely than others. Assessing risk means deciding which threats you are going to take seriously, and which may be too rare or too harmless (or too difficult to combat) to worry about. See threat modeling.
Synonyms: Risk, Risk Assessment.
Source EFF.",,
Risk assessment,Noun,"In computer security, risk analysis is calculating the chance that threats might succeed, so you know how much effort to spend defending against them. There may be many different ways that you might lose control or access to your data, but some of them are less likely than others. Assessing risk means deciding which threats you are going to take seriously, and which may be too rare or too harmless (or too difficult to combat) to worry about. See threat modeling.
Synonyms: Risk, Risk analysis.
Source EFF.",,
Roadmap,Noun,,,
Role-based access control,Noun,[Globaleaks],,
Root,Noun,,,
RouterInfo,Noun,,,
Ruleset Tests,Noun,,,
Running environment,Noun,,,
Runtime,Noun,,,
SD card,Noun,,,
SES (Suspicious Email Submitter),Noun,[SES] Project Name. Please do not translate.,,
SIM card,Noun,"A small, removable card that can be inserted into a mobile phone in order to provide service with a particular mobile phone company. SIM (subscriber identity module) cards can also store phone numbers and text messages.
Source EFF.",,
SMS,Noun,"“SMS (short message service) is a text messaging service component of most telephone, internet, and mobile-device systems.[1] It uses standardized communication protocols to enable mobile devices to exchange short text messages.” https://en.wikipedia.org/wiki/SMS Synonym: text message [Signal]",SMS,
SMTP,Noun,[Globaleaks],,
SOCKS,Noun,"[Orbot] ""Socket Secure (SOCKS) is an Internet protocol that exchanges network packets between a client and server through a proxy server. SOCKS5 additionally provides authentication so only authorized users may access a server. Practically, a SOCKS server proxies TCP connections to an arbitrary IP address, and provides a means for UDP packets to be forwarded."" - Wikipedia (https://en.wikipedia.org/wiki/SOCKS)",SOCKS,"""SOCKS es un protocolo de Internet que permite a las aplicaciones Cliente-servidor usar de manera transparente los servicios de un firewall de red. SOCKS es una abreviación de ""SOCKetS""."" (Fuente: https://es.wikipedia.org/wiki/SOCKS)"
SSD (Solid-State Drive),Noun,"""A solid-state drive (SSD), or solid-state disk is a solid-state storage device that uses integrated circuit assemblies as memory to store data persistently."" -https://en.wikipedia.org/wiki/Solid-state_drive

""Historically, computers stored data on rotating magnetic discs. Mobile devices and increasing numbers of personal computers now store permanent data on non-moving drives. These SSD drives are currently more expensive, but much faster than magnetic storage. Unfortunately, it can be more difficult to reliably and permanently remove data from SSD drives.""
Source EFF","SSD (unidad de estado sólido, dispositivo de estado sólido)","""La unidad de estado sólido, dispositivo de estado sólido o SSD...es un tipo de dispositivo de almacenamiento de datos que utiliza memoria no volátil, como la memoria flash, para almacenar datos, en lugar de los platos o discos magnéticos de las unidades de discos duros (HDD) convencionales."" -https://es.wikipedia.org/wiki/Unidad_de_estado_s%C3%B3lido"
SSH,Noun,"""Secure Shell (SSH) is a cryptographic network protocol for operating network services securely over an unsecured network.[1] The best known example application is for remote login to computer systems by users."" - Wikipedia (https://en.wikipedia.org/wiki/Secure_Shell)",,
SSL,Noun,"""Transport Layer Security (TLS) and its predecessor, Secure Sockets Layer (SSL), both frequently referred to as ""SSL"", are cryptographic protocols that provide communications security over a computer network. Several versions of the protocols find widespread use in applications such as web browsing, email, Internet faxing,  messaging, and voice-over-IP (VoIP). Websites are able to use TLS to secure all communications between their servers and web browsers."" - Wikipedia (https://en.wikipedia.org/wiki/Transport_Layer_Security)",,
SSL Observatory,Noun,,,
SVM,Noun,Support Vector Machine,,
SVM (Support Vector Machine),Noun,"""In machine learning, support vector machines (SVMs, also support vector networks) are supervised learning models with associated learning algorithms that analyze data used for classification and regression analysis."" - https://en.wikipedia.org/wiki/Support_vector_machine",,
Safe-house,Noun,,,
Satellite Provider,Noun,,,
Screen Lock,Noun,[Signal],bloqueo de pantalla,
Search,Noun,,,
Search Engine,Noun,,,
Search Results,Noun,Application menu item.,Resultados de la búsqueda,
Secure Sockets Layer,Noun,,,
Secure Sockets Layer (SSL),Noun,"The technology that permits you to maintain a secure, encrypted connection between your computer and some of the websites and Internet services that you visit. When you're connected to a website through this technology, the address of the website will begin with HTTPS rather than HTTP. Officially, its name was changed to Transport Layer Security (TLS) in 1999, but many people still use the old name, Secure Sockets Layer (SSL). (Synonyms: Transport layer security) (Source: EFF)",,
Secure password database,Noun,"A tool that can encrypt and store your passwords using a single master password making it practical to use many different passwords on different sites and services without having to memorize them. (Synonyms: Password manager, password safe) (Source EFF)",,
Security certificate,Noun,"A way to confirm automatically that a public key is correct (is really the one that's used by a particular entity), in order to prevent man-in-the-middle attacks. Most often used by web sites to prove to your browser that you have a secure connection to the real site, and not to some other system that's tampering with your connection.
(Synonyms: Digital certificate) (Source EFF)",,
Security question,Noun,"To supplement passwords, some systems use ""security questions."" These are queries to which only you are supposed to know the answer. The problem with security questions is that they are really just extra passwords that have potentially guessable or discoverable answers. We recommend you treat them as any other password: create a long, novel, random, phrase to answer them, and record that somewhere safe. So the next time your bank asks you your mother's maiden name, you should be ready to answer ""Correct Battery Horse Staple"" or similar.(Source EFF)",,
Security token,Noun,,Token de Seguridad,
Seed,Noun,,,
Seeding,Noun,,,
Select,,,,
Select Fit,,,,
Sensitive,Adjective,,,
Sensor,,,,
Server,,,,
Servers,Verb,,,
ServiceVM,Noun,"""Service Virtual Machine""A VM the primary purpose of which is to provide a service or services to other VMs.",ServiceVM,El termino es Máquina Virtual de Servicio pero se acuerda manetener el termino tal cual ya que es un termino usado en multiples secciones de la documedntacion.
Setting,Noun,,Configuración,
Settings,Noun,[Signal] [Orbot] Application menu item.,configuraciones,
Short User Manual,Noun,,,
Signal,Noun,[Signal] Name of application. Do not translate.,Signal,
Size,,,,
Slim,,,,
Socket,Noun,,,
Software,Noun,,,
Solid State Drive,Noun,"Historically, computers stored data on rotating magnetic discs. Mobile devices and increasing numbers of personal computers now store permanent data on non-moving drives. These SSD drives are currently more expensive, but much faster than magnetic storage. Unfortunately, it can be more difficult to reliably and permanently remove data from SSD drives.
Synonyms: SSD.
Source EFF.",,
Source code,Noun,,,
Speed Boost,Noun,[Psiphon],,
Standalone(VM),Noun,"[QubesOS] ""Standalone (Virtual Machine)""In general terms, a VM is described as **standalone** if and only if it does not depend on any other VM for its root filesystem.",maquina virtual independiente,"Igual que TemplateBasedVM, puede traducirse"
StandaloneHVM,Noun,"[QubesOS] ""Standalone Hardware Virtual Machine""Any HVM which is standalone (i.e., does not depend on any other VM for its root filesystem).",Máquina virtual de hardware (HVM) independiente,
Standard Fields,Noun,,,
Sticker Pack,,,,
Stock,,,,
Stocks,,,,
Street Address,,,,
Subtitle,Noun,[Globaleaks],,
Summary,Noun,,,
Support,,,,
Support Vector Machine,Noun,,,
Sure,,,,
Surname,Noun,,,
Sweatshirt,,,,
Sync Manager,Noun,,Administrador de sincronización,
Sys admin,Noun,,,
System administrator,Noun,,,
TLS,Noun,"""Transport Layer Security (TLS) and its predecessor, Secure Sockets Layer (SSL), both frequently referred to as ""SSL"", are cryptographic protocols that provide communications security over a computer network. Several versions of the protocols find widespread use in applications such as web browsing, email, Internet faxing,  messaging, and voice-over-IP (VoIP). Websites are able to use TLS to secure all communications between their servers and web browsers."" - Wikipedia (https://en.wikipedia.org/wiki/Transport_Layer_Security)",,
TOFU,Noun,"Trust on first use:
https://en.wikipedia.org/wiki/Trust_on_first_use",,
TRIM,Noun,"[VeraCrypt] ""A trim command (known as TRIM in the ATA command set, and UNMAP in the SCSI command set) allows an operating system to inform a solid-state drive (SSD) which blocks of data are no longer considered in use and can be wiped internally."" https://en.wikipedia.org/wiki/Trim_(computing)",,
TRIM command,Noun,"[VeraCrypt] ""A trim command (known as TRIM in the ATA command set, and UNMAP in the SCSI command set) allows an operating system to inform a solid-state drive (SSD) which blocks of data are no longer considered in use and can be wiped internally."" https://en.wikipedia.org/wiki/Trim_(computing)",orden TRIM,"""En informática, una orden TRIM permite a un sistema operativo comunicar a una unidad de estado sólido (SSD) qué bloques de datos ya no están en uso, como los datos dejados al borrar ficheros. Una operación del SO como un borrado generalmente sólo marca los bloques implicados como no usados. TRIM permite que el SO pase esa información al controlador de la SSD, que de otra manera no sabría qué bloques puede eliminar."" - https://es.wikipedia.org/wiki/TRIM"
TTL,Noun,,,
Tails,Noun,Name of the organization and tool.,,
Tails Installer,Noun,Tails = The Amnesic Incognito Live System,,
Take a stand,,,,
Tamanho,,,,
TemplateBasedHVM,Noun,"[QubesOS] ""Template-Based Hardware Virtual Machine""Any HVM that depends on a TemplateVM for its root filesystem.",Máquina virtual de hardware basada en una plantilla,
TemplateBasedVM,Noun,"[QubesOS] ""Template-Based Virtual Machine""Any VM which depends on a TemplateVM for its root filesystem.",máquina virtual basada en una plantilla,"Este término al parecer se utiliza solo para explicar que hay diferentes orígenes para un AppVM, por lo que puede traducirse."
TemplateHVM,Noun,"[QubesOS] ""Template Hardware Virtual Machine""Any HVM which functions as a TemplateVM by supplying [QubesOS] its root filesystem to other VMs.",Pantilla de máquina virtual de hardware (HVM),
TemplateVM,Noun,"[QubesOS] ""Template Virtual Machine.""Any VM which supplies its root filesystem to another VM.",TemplateVM,"Al igual que ""AppVM"" o ""NetVM"", se acuerda que se mantienen sin traducir ya que aparecen en el resultado de muchas operaciones en la línea de comandos. La idea de TemplateVM, cuando aparece por ejemplo en instrucciones, si se traduce y se agrega el término entre paréntesis."
Terms & Privacy Policy,Noun,[Signal],,
Text message,Noun,Synonym: SMS,,
Thanks You,,,,
Threat,Noun,"In computer security, a threat is a potential event that could undermine your efforts to defend your data. Threats can be intentional (conceived by attackers), or they could be accidental (you might leave your computer turned on and unguarded). (Source EFF)",,
Threat model,Verb,,,
Threat modeling,Noun,"A way of narrowly thinking about the sorts of protection you want for your data. It's impossible to protect against every kind of trick or attacker, so you should concentrate on which people might want your data, what they might want from it, and how they might get it. Coming up with a set of possible attacks you plan to protect against is called threat modeling. Once you have a threat model, you can conduct a risk analysis. (Synonyms: Threat model) (Source EFF)",,
Throwaway,Noun,"A phone that is not connected to your identity, is only used for a small set of calls or activities, and can be discarded if and when it is suspected of being tracked or compromised. Burner phones are often pre-paid mobile phones bought with cash. (Synonyms: Burner phone) (Source EFF)",,
Throwaway address,Noun,"An email address you use once, and never again. Used to sign up to Internet services without revealing an email address connected to your identity.
Source EFF.",,
Timestamp,Noun,,,
To date though,,,,
Toolkit,Noun,,,
Tools,Noun,[Martus] Martus menu option.,Herramientas,
Tor,Noun,[Orbot],Tor,
Tor Blog,,,,
Tor Blog,Noun,,,
Tor Bridges,Noun,,Puentes Tor,
Tor Browser,,,,
Tor Browser,Noun,"[Orbot] Application Name (https://www.torproject.org/projects/torbrowser.html.en). You can translate the word ""Browser"", however ensure that it is translated consistently across all resources and projects.",Navegador Tor,
Tor Browser Bundle,Noun,,,
Tor Browser profile directory,Noun,,,
Tor News,,,,
Tor News,Noun,,,
Tor Project,,,,
Tor Project,Noun,[Orbot] Organization name. Do not translate. Name can be transcribed dependent on language.,el Proyecto Tor,
Tor bridge,Noun,,,
Tor messenger,Noun,[The Tor Project],,
Tor network,Noun,,red Tor,
Tor relay,Noun,[Tor] [Orbot],repetidor Tor,
Torbutton,Noun,,,
Touch ID,Noun,[Signal] Specific to iOS,,
Trademark,Noun,,,
Twitter,,,,
Two-Factor,Noun,,,
UI,Noun,user interface,,
URL,Noun,,,
US $,,,,
USB drive,Noun,Specifically thumbdrives used as external storage.,,
USB stick,Noun,,,
UpdateVM,Noun,[QubesOS],,
Uploaded,Adjective,[Globaleaks],,
UsbVM,Noun,[QubesOS],,
Usually,,,,
VM,Noun,"""virtual machine""",VM,"Agreed that VM will remain untranslated, as it is common usage"
VPN,,,,
VPN,Noun,"A virtual private network is a method for connecting your computer securely to the network of an organization on the other side of the Internet. When you use a VPN, all of your computer's Internet communications is packaged together, encrypted and then relayed to this other organization, where it is decrypted, unpacked, and then sent on to its destination. To the organization's network, or any other computer on the wider Internet, it looks like your computer's request is coming from inside the organization, not from your location. VPNs are used by businesses to provide secure access to internal resources (like file servers or printers). They are also used by individuals to bypass local censorship, or defeat local surveillance.
Synonyms: Virtual Private Network
Source: EFF",,
VPNs,,,,
Vanilla Bridges,,,,
Vidalia,Noun,,,
Virtual Machine (VM),Noun,"A software implementation of a machine (for example, a computer) which executes programs like a physical machine.",máquina virtual (VM),"Agreed that VM will remain untranslated, as it is common usage"
Virtual Private Network (VPN),Noun,"A virtual private network is a method for connecting your computer securely to the network of an organization on the other side of the Internet. When you use a VPN, all of your computer's Internet communications is packaged together, encrypted and then relayed to this other organization, where it is decrypted, unpacked, and then sent on to its destination. To the organization's network, or any other computer on the wider Internet, it looks like your computer's request is coming from inside the organization, not from your location. VPNs are used by businesses to provide secure access to internal resources (like file servers or printers). They are also used by individuals to bypass local censorship, or defeat local surveillance. (Synonyms: VPN) (Source: EFF)",VPN,
"Virtual Private Network, VPN",Noun,"[Orbot] A virtual private network is a method for connecting your computer securely to the network of an organization on the other side of the Internet. When you use a VPN, all of your computer's Internet communications is packaged together, encrypted and then relayed to this other organization, where it is decrypted, unpacked, and then sent on to its destination. To the organization's network, or any other computer on the wider Internet, it looks like your computer's request is coming from inside the organization, not from your location. VPNs are used by businesses to provide secure access to internal resources (like file servers or printers). They are also used by individuals to bypass local censorship, or defeat local surveillance. (Synonyms: Virtual Private Network) (Source: EFF)","red privada virtual, VPN","Una red privada virtual (o VPN, como  es conocida por sus siglas en inglés) es un método para conectar tu computadora de manera segura a un sistema de una organización en el otro lado de la Internet. Cuando usas una VPN, todo el sistema de comunicación de la Internet está en un paquete completo, cifrado e entregado a esta otra organización, donde ésta está cifrada, desempacada, y luego enviada a su destinatario. Enla red de la organización, o cualquiera otra computadora a todo lo largo de la Internet, esta parece como si la petición viene de adentro de la organización, no de tu localidad. Las VPN son usadas por negocios para proveer acceso seguro a recursos internos (como carpetas de servidores o impresoras). Ellas también son utilizadas por individuos para sobre-pasar censores o derrotar vigilancias locales."
Virtual Private Server (VPS),Noun,Virtual Private Server,,
VoIP Call,Noun,,,
Voice over IP (VoIP),Noun,"Any technology that allows you to use the Internet for voice communication with other VoIP users or receive telephone calls over the Internet.
Synonyms: VoIP.
Source EFF.",,
WAN,Noun,,,
Warning!,Interjection,ex: “Warning! Selecting 'OK' will permanently delete all files”,,
Web-based proxy,Noun,"A website that lets its users access other, blocked or censored websites. Generally, the web proxy will let you type a web address (or URL) onto a web page, and then redisplay that web address on the proxy page. Easier to use than most other censorship-circumventing services.
Source EFF.",,
WebApp,Noun,,,
Welcome,Noun,,,
WhisperBack,Noun,,,
WiFi,Noun,,WiFi,
Windows,Noun,Operating system,,
Work,Verb,,"Trabajar, Funcionar",
World Wide Web,Noun,,,
XMPP,Noun,"Copy of data, updated regularly or not, in order to allow restoration in case of data loss.
It can be stored locally, on the cloud or on a removable medium such as an optical disk or USB drive. This last option allows backups to be stored away safely. [Signal]",XMPP,"Un estandar abierto de mensajería ánea  - Google usa XMPP para Google Talk; Facebook la ofrecía, pero dejó de hacerlo. Los servicios de mensajería ánea independientes no corporativos normalmente usan XMPP. Los servicios como WhatsApp tienen su propio protocolo cerrado y secreto."
XSS,Noun,,,
XXL,,,,
YYYY,Noun,“Year” Indicates that user must input a 4-digit year (ex: 1990),,
Zip,,,,
about,Preposition,"[Globaleaks] As in, the “About” section of a website or application.",acerca,
academic,,,,
accept,Verb,[Signal],aceptar,
access,Noun,,acceso,
access,Verb,,acceder,
access mode,Noun,,Modo de acceso,
access token,Noun,"[Martus]
Short identification number used to add Contacts to your Martus account.",Credencial de acceso,
accessibility,Noun,,,
account,Noun,,cuenta,
account recovery,Noun,,Recuperación de cuenta,
account recovery code,Noun,,Código de recuperación de cuenta,
accountability,Noun,,contabilidad,
accounting,,,,
acknowledge,Verb,"An acknowledgment in Peerio is similar to a message, but sends a ""thumbs up"" icon with no additional text. The thumbs-up icon is referred to as an ""acknowledgment""",agradecer,
acknowledged,Adjective,"An acknowledgment in Peerio is similar to a message, but sends a ""thumbs up"" icon with no additional text. The thumbs-up icon is referred to as an ""acknowledgment""",agradecido,
acknowledgment,Noun,"American English — A button in Peerio that functions similar to a message, but sends a ""thumbs up"" icon with a timestamp. The thumbs-up icon is referred to as an ""acknowledgment""",agradecimiento,
acquire,Verb,,adquirir,
activate,Verb,[Orbot],activar,
active,Adjective,,activo,
activists,,,,
activity,,,,
activity,Noun,,actividad,
ad provider,Noun,[Psiphon 3],,
ad-blocker,Noun,,,
add,Verb,,añadir,(Sinónimo: agregar)
add-on,Noun,"A piece of software that modifies another software application, changing how it works or what it can do. Often add-ons can add privacy or security features to web browsers or email software. Some add-ons are malware, so be careful to install only those that are reputable and from official sources. (Synonyms: extensions, plugins) (Source: EFF)",complemento,
add-ons,Noun,,,
added,Adjective,,añadido,(Sinónimo: agregado)
address,Noun,,dirección,
address,Verb,"(1) To address a situation
Synonyms:  to fix, to take care of

(2) Give to data or a data set an address in memory

(3) If a letter, envelope, or parcel is addressed to you, your name and address have been written on it.",,
address bar,Noun,,,
address book,Noun,,,
admin,Noun,,,
administrative,,,,
administrators,Noun,,,
advance,,,,
advanced,Adjective,,"avanzado, -a",
advanced,Noun,it is a noun?,,
advanced search,Noun,[Martus],,
advanced user,Noun,,,
adversary,Noun,"Your adversary is the person or organization attempting to undermine your security goals. Adversaries can be different, depending on the situation. For instance, you may worry about criminals spying on the network at a cafe, or your classmates at a school. Often the adversary is hypothetical.
Source EFF.",,
agenda notes,Noun,,notas para planear una agenda,
agent,Noun,,,
air gap,Noun,"A computer or network that is physically isolated from all other networks, including the Internet, is said to be air-gapped.
Source EFF.

An air gap, air wall or air gapping is a network security measure employed on one or more computers to ensure that a secure computer network is physically isolated from unsecured networks, such as the public Internet or an unsecured local area network. The name arises from the technique of creating a network that is physically separated from all other networks.
Source Wikipedia",,
air-gapped (air gapped),Adjective,,aislada,Un computador que no tiene conexión cableada o inalámbrica a una red
airline miles,,,,
airlines miles,,,,
alpha,Noun,,,
alternate,Adjective,,,
alternate,Noun,,,
alternative,Adjective,,,
alternative,Noun,,,
ambiguous,Adjective,,,
and/or,Conjunction,,,
anomaly,Noun,[Globaleaks],,
anonymity,,,,
anonymity,Noun,[Orbot],anonimato,
anonymization,Noun,"""It is the process of either encrypting or removing personally identifiable information from data sets, so that the people whom the data describe remain anonymous."" (Source: https://en.wikipedia.org/wiki/Data_anonymization)",anonimización,
anonymize,Verb,"[Orbot] To encrypt or remove personally identifiable information from data sets, so that the people whom the data describe remain anonymous. (Source: https://en.wikipedia.org/wiki/Data_anonymization) [Signal]",anonimizar,"""l anonimato es el carácter o la condición de anónimo,1​ es decir, que la identidad de una persona o entidad es desconocida."" (Fuente: https://es.wikipedia.org/wiki/Seudonimato_y_anonimato)"
anonymizing,,,,
anonymous,,,,
anonymous,Adjective,[Orbot],anónimo,
anonymously,,,,
anti-censorship,,,,
antivirus,Noun,"Software that attempts to protect a device from being taken over by malicious software (or “malware""). Viruses were some of the first and most prevalent forms of malware; they were named viruses to reflect the way they would spread from device to device. These days most antivirus software concentrate on warning you if you look to be downloading a suspicious file from an external source, and examining files on your computer to see if they match the software's idea of what malware looks like.
Anti-virus software can only recognize malware if it is substantially similar to samples that the anti-virus developer has already analyzed. This makes it far less effective at combating targeted malware designed to infiltrate a particular community or person, rather than more widespread strains of malware. Some advanced malware can also actively attack or conceal itself from antivirus software.
Source EFF.",antivirus,
anyone,,,,
app,Noun,"[Orbot] Abbreviation of ""application."" (Synonyms: application)","aplicación, app",
app switcher,Noun,[Signal] Specific to iOS,,
application,Noun,"[Orbot] An application program (app or application for short) is a computer program designed to perform a group of coordinated functions, tasks, or activities for the benefit of the user. (Source: https://en.wikipedia.org/wiki/Application_software) [Signal]",aplicación,
apply,Verb,,solicitar,
appreciates,,,,
approach,Noun,,forma de encarar,
approve,Verb,,aprobar,
archive,Noun,"An archive file is a file that is composed of one or more computer files along with metadata. Archive files are used to collect multiple data files together into a single file for easier portability and storage, or simply to compress files to use less storage space.
https://en.wikipedia.org/wiki/Archive_file",archivo,
archive,Verb,[Signal],guardar,
argument,Noun,,,
arrive,Verb,,llegar,
article,Noun,,,
as root,Noun,,,
asset,Noun,"In threat modeling, any piece of data or a device that needs to be protected.
Source EFF.",,
