term,pos,comment,de
Psiphon,Noun,"Name of an organization and application. Please do not translate this term. If needed, you can transcribe the organization / tool name. For example, the name is transcribed in Arabic, Persian and Amharic.",
Public Information File (*.mpi),Noun,[Martus] Files containing the account's public information,Öffentliche Informationsdateien (*.mpi)
Public key cryptography,Noun,,
Public key encryption,Noun,"Traditional encryption systems use the same secret, or key, to encrypt and decrypt a message. So if I encrypted a file with the password ""bluetonicmonster"", you would need both the file and the secret ""bluetonicmonster"" to decode it. Public key encryption uses two keys: one to encrypt, and another to decrypt. This has all kinds of useful consequences. For one, it means that you can hand out the key to encrypt messages to you, and as long as you keep the other key secret, anyone with that key can talk to you securely. The key you hand out widely is known as the ""public key"": hence the name of the technique. Public key encryption is used to encrypt email and files by Pretty Good Privacy (PGP), OTR for  messaging, and SSL/TLS for web browsing.
Synonyms: Asymmetric key encryption, Public key cryptography.
Source EFF.",
Public key servers,Noun,"If you plan to send a secure message to someone who uses public key cryptography like PGP, you need to know what key to use to encrypt your message. Public key servers act as a phonebook for such keys, allowing software to use an email address, name, or key fingerprint to search for a full key and download it. There are many PGP public key servers, but they usually share their key collections with each other. Keyservers can't verify whether the keys they publish are genuine or forgeries. Anyone can upload a key to a public key server—in anyone's name. That means that a key connected to a person's name or email on a keyserver might not be their real key. In order to check the authenticity of a key, you need to check its signatures, or confirm its fingerprint with the original user in a trustworthy way.

PGP allows you to sign other people's keys, which is a way of using your own key to assert that a certain key is the right one to use to contact another person. This is meant to provide a way of distinguishing between genuine and fake keys; if people sign the right keys for people they know and communicate with, others can use those signatures to confirm that the genuine keys are genuine. When you download a key from a key server, it may include signatures from other people who affirm that it's the right one. If you know those people and know that you have the right key for them, you can have more confidence in the newly downloaded key. This verification process is also called the web of trust. Its advantage is that it's decentralized and not controlled by any authority, so you don't have to believe a certain company or government about which keys to use when writing to new people. Instead, you can believe your own social networks. One important disadvantage of the web of trust is that publishing signatures for other people's keys tells the whole world who your contacts are; it creates public evidence that you know particular people. Also, using the web of trust correctly requires a good deal of time and attention, and some communities rarely or never participate. (Source: EFF)",
Q&A,Noun,,F&A
QR Code,,,
QR code,Noun,[Signal] [Orbot],
"QR code, code",Noun,[Signal],QR-Code
Qubes Global Settings,Noun,[QubesOS],
Qubes OS,Noun,"[QubesOS] Do not translate ""Qubes OS""",
Query,Noun,,
Questionnaire,,,
RAM,Noun,,
RMI,Noun,,
ROM,Noun,[Signal],
Randomization,Noun,,
Rate,Noun,,
Read,Verb,,
ReadMe,Noun,The ReadMe file included with any new software release that describes changes to software,Liesmich (Datei)
Reboot,Noun,,neu starten
Reboot,Verb,,
Record ID,Noun,,Datensatzkennung
Reference Guide,Noun,,
Referer,Noun,,Referer / Absender
Referer spoofing,Noun,,Absender / Referer-Manipulation
Refresh,Noun,,
Refresh,Verb,,
Registration Lock,Noun,[Signal],
Reject,Verb,,
Release key,Noun,,
Removable media,Noun,,
Removable media drive,Noun,,
Repliable datagram,Noun,,
Required,Adjective,,
Reseed,Verb,,
Retry,Verb,,
Retweet,Noun,,
Retweet,Verb,,
Reusable Choice,Noun,,
Revocation certificate,Noun,"What happens if you lose access to a secret key, or it stops being secret? A revocation certificate is a file that you can generate that announces that you no longer trust that key. You generate it when you still have the secret key, and keep it for any future disaster.
Source EFF.",
Reward,Noun,,
Rich Text,Noun,,
Ring Tone,Noun,,
Rip,Noun,,
Risk analysis,Noun,"In computer security, risk analysis is calculating the chance that threats might succeed, so you know how much effort to spend defending against them. There may be many different ways that you might lose control or access to your data, but some of them are less likely than others. Assessing risk means deciding which threats you are going to take seriously, and which may be too rare or too harmless (or too difficult to combat) to worry about. See threat modeling.
Synonyms: Risk, Risk Assessment.
Source EFF.",
Risk assessment,Noun,"In computer security, risk analysis is calculating the chance that threats might succeed, so you know how much effort to spend defending against them. There may be many different ways that you might lose control or access to your data, but some of them are less likely than others. Assessing risk means deciding which threats you are going to take seriously, and which may be too rare or too harmless (or too difficult to combat) to worry about. See threat modeling.
Synonyms: Risk, Risk analysis.
Source EFF.",
Roadmap,Noun,,
Role-based access control,Noun,[Globaleaks],
Root,Noun,,
RouterInfo,Noun,,
Ruleset Tests,Noun,,Regelsatztests
Running environment,Noun,,
Runtime,Noun,,
SD card,Noun,,
SES (Suspicious Email Submitter),Noun,[SES] Project Name. Please do not translate.,
SIM card,Noun,"A small, removable card that can be inserted into a mobile phone in order to provide service with a particular mobile phone company. SIM (subscriber identity module) cards can also store phone numbers and text messages.
Source EFF.",
SMS,Noun,"“SMS (short message service) is a text messaging service component of most telephone, internet, and mobile-device systems.[1] It uses standardized communication protocols to enable mobile devices to exchange short text messages.” https://en.wikipedia.org/wiki/SMS Synonym: text message [Signal]",
SMTP,Noun,[Globaleaks],
SOCKS,Noun,"[Orbot] ""Socket Secure (SOCKS) is an Internet protocol that exchanges network packets between a client and server through a proxy server. SOCKS5 additionally provides authentication so only authorized users may access a server. Practically, a SOCKS server proxies TCP connections to an arbitrary IP address, and provides a means for UDP packets to be forwarded."" - Wikipedia (https://en.wikipedia.org/wiki/SOCKS)",
SSD (Solid-State Drive),Noun,"""A solid-state drive (SSD), or solid-state disk is a solid-state storage device that uses integrated circuit assemblies as memory to store data persistently."" -https://en.wikipedia.org/wiki/Solid-state_drive

""Historically, computers stored data on rotating magnetic discs. Mobile devices and increasing numbers of personal computers now store permanent data on non-moving drives. These SSD drives are currently more expensive, but much faster than magnetic storage. Unfortunately, it can be more difficult to reliably and permanently remove data from SSD drives.""
Source EFF",
SSH,Noun,"""Secure Shell (SSH) is a cryptographic network protocol for operating network services securely over an unsecured network.[1] The best known example application is for remote login to computer systems by users."" - Wikipedia (https://en.wikipedia.org/wiki/Secure_Shell)",
SSL,Noun,"""Transport Layer Security (TLS) and its predecessor, Secure Sockets Layer (SSL), both frequently referred to as ""SSL"", are cryptographic protocols that provide communications security over a computer network. Several versions of the protocols find widespread use in applications such as web browsing, email, Internet faxing,  messaging, and voice-over-IP (VoIP). Websites are able to use TLS to secure all communications between their servers and web browsers."" - Wikipedia (https://en.wikipedia.org/wiki/Transport_Layer_Security)",
SSL Observatory,Noun,,SSL-Beobachtungsstelle
SVM,Noun,Support Vector Machine,
SVM (Support Vector Machine),Noun,"""In machine learning, support vector machines (SVMs, also support vector networks) are supervised learning models with associated learning algorithms that analyze data used for classification and regression analysis."" - https://en.wikipedia.org/wiki/Support_vector_machine",
Safe-house,Noun,,
Satellite Provider,Noun,,
Screen Lock,Noun,[Signal],
Search,Noun,,
Search Engine,Noun,,Suchmaschiene
Search Results,Noun,Application menu item.,Suchergebnisse
Secure Sockets Layer,Noun,,
Secure Sockets Layer (SSL),Noun,"The technology that permits you to maintain a secure, encrypted connection between your computer and some of the websites and Internet services that you visit. When you're connected to a website through this technology, the address of the website will begin with HTTPS rather than HTTP. Officially, its name was changed to Transport Layer Security (TLS) in 1999, but many people still use the old name, Secure Sockets Layer (SSL). (Synonyms: Transport layer security) (Source: EFF)",
Secure password database,Noun,"A tool that can encrypt and store your passwords using a single master password making it practical to use many different passwords on different sites and services without having to memorize them. (Synonyms: Password manager, password safe) (Source EFF)",
Security certificate,Noun,"A way to confirm automatically that a public key is correct (is really the one that's used by a particular entity), in order to prevent man-in-the-middle attacks. Most often used by web sites to prove to your browser that you have a secure connection to the real site, and not to some other system that's tampering with your connection.
(Synonyms: Digital certificate) (Source EFF)",
Security question,Noun,"To supplement passwords, some systems use ""security questions."" These are queries to which only you are supposed to know the answer. The problem with security questions is that they are really just extra passwords that have potentially guessable or discoverable answers. We recommend you treat them as any other password: create a long, novel, random, phrase to answer them, and record that somewhere safe. So the next time your bank asks you your mother's maiden name, you should be ready to answer ""Correct Battery Horse Staple"" or similar.(Source EFF)",
Security token,Noun,,
Seed,Noun,,
Seeding,Noun,,
Select,,,
Select Fit,,,
Sensitive,Adjective,,
Sensor,,,
Server,,,
Servers,Verb,,
ServiceVM,Noun,"""Service Virtual Machine""A VM the primary purpose of which is to provide a service or services to other VMs.",
Setting,Noun,,Einstellungen
Settings,Noun,[Signal] [Orbot] Application menu item.,
Short User Manual,Noun,,
Signal,Noun,[Signal] Name of application. Do not translate.,
Size,,,
Slim,,,
Socket,Noun,,
Software,Noun,,
Solid State Drive,Noun,"Historically, computers stored data on rotating magnetic discs. Mobile devices and increasing numbers of personal computers now store permanent data on non-moving drives. These SSD drives are currently more expensive, but much faster than magnetic storage. Unfortunately, it can be more difficult to reliably and permanently remove data from SSD drives.
Synonyms: SSD.
Source EFF.",
Source code,Noun,,
Speed Boost,Noun,[Psiphon],
Standalone(VM),Noun,"[QubesOS] ""Standalone (Virtual Machine)""In general terms, a VM is described as **standalone** if and only if it does not depend on any other VM for its root filesystem.",
StandaloneHVM,Noun,"[QubesOS] ""Standalone Hardware Virtual Machine""Any HVM which is standalone (i.e., does not depend on any other VM for its root filesystem).",
Standard Fields,Noun,,Standardfelder
Sticker Pack,,,
Stock,,,
Stocks,,,
Street Address,,,
Subtitle,Noun,[Globaleaks],Untertitel
Summary,Noun,,
Support,,,
Support Vector Machine,Noun,,
Sure,,,
Surname,Noun,,
Sweatshirt,,,
Sync Manager,Noun,,
Sys admin,Noun,,
System administrator,Noun,,
TLS,Noun,"""Transport Layer Security (TLS) and its predecessor, Secure Sockets Layer (SSL), both frequently referred to as ""SSL"", are cryptographic protocols that provide communications security over a computer network. Several versions of the protocols find widespread use in applications such as web browsing, email, Internet faxing,  messaging, and voice-over-IP (VoIP). Websites are able to use TLS to secure all communications between their servers and web browsers."" - Wikipedia (https://en.wikipedia.org/wiki/Transport_Layer_Security)",
TOFU,Noun,"Trust on first use:
https://en.wikipedia.org/wiki/Trust_on_first_use",
TRIM,Noun,"[VeraCrypt] ""A trim command (known as TRIM in the ATA command set, and UNMAP in the SCSI command set) allows an operating system to inform a solid-state drive (SSD) which blocks of data are no longer considered in use and can be wiped internally."" https://en.wikipedia.org/wiki/Trim_(computing)",
TRIM command,Noun,"[VeraCrypt] ""A trim command (known as TRIM in the ATA command set, and UNMAP in the SCSI command set) allows an operating system to inform a solid-state drive (SSD) which blocks of data are no longer considered in use and can be wiped internally."" https://en.wikipedia.org/wiki/Trim_(computing)",
TTL,Noun,,
Tails,Noun,Name of the organization and tool.,Tails
Tails Installer,Noun,Tails = The Amnesic Incognito Live System,
Take a stand,,,
Tamanho,,,
TemplateBasedHVM,Noun,"[QubesOS] ""Template-Based Hardware Virtual Machine""Any HVM that depends on a TemplateVM for its root filesystem.",
TemplateBasedVM,Noun,"[QubesOS] ""Template-Based Virtual Machine""Any VM which depends on a TemplateVM for its root filesystem.",
TemplateHVM,Noun,"[QubesOS] ""Template Hardware Virtual Machine""Any HVM which functions as a TemplateVM by supplying [QubesOS] its root filesystem to other VMs.",
TemplateVM,Noun,"[QubesOS] ""Template Virtual Machine.""Any VM which supplies its root filesystem to another VM.",
Terms & Privacy Policy,Noun,[Signal],
Text message,Noun,Synonym: SMS,
Thanks You,,,
Threat,Noun,"In computer security, a threat is a potential event that could undermine your efforts to defend your data. Threats can be intentional (conceived by attackers), or they could be accidental (you might leave your computer turned on and unguarded). (Source EFF)",
Threat model,Verb,,
Threat modeling,Noun,"A way of narrowly thinking about the sorts of protection you want for your data. It's impossible to protect against every kind of trick or attacker, so you should concentrate on which people might want your data, what they might want from it, and how they might get it. Coming up with a set of possible attacks you plan to protect against is called threat modeling. Once you have a threat model, you can conduct a risk analysis. (Synonyms: Threat model) (Source EFF)",
Throwaway,Noun,"A phone that is not connected to your identity, is only used for a small set of calls or activities, and can be discarded if and when it is suspected of being tracked or compromised. Burner phones are often pre-paid mobile phones bought with cash. (Synonyms: Burner phone) (Source EFF)",
Throwaway address,Noun,"An email address you use once, and never again. Used to sign up to Internet services without revealing an email address connected to your identity.
Source EFF.",
Timestamp,Noun,,
To date though,,,
Toolkit,Noun,,
Tools,Noun,[Martus] Martus menu option.,Werkzeuge
Tor,Noun,[Orbot],
Tor Blog,,,
Tor Blog,Noun,,
Tor Bridges,Noun,,
Tor Browser,,,
Tor Browser,Noun,"[Orbot] Application Name (https://www.torproject.org/projects/torbrowser.html.en). You can translate the word ""Browser"", however ensure that it is translated consistently across all resources and projects.",Tor Browser
Tor Browser Bundle,Noun,,
Tor Browser profile directory,Noun,,
Tor News,,,
Tor News,Noun,,
Tor Project,,,
Tor Project,Noun,[Orbot] Organization name. Do not translate. Name can be transcribed dependent on language.,
Tor bridge,Noun,,Tor-Brücke
Tor messenger,Noun,[The Tor Project],
Tor network,Noun,,Tor-Netzwerk
Tor relay,Noun,[Tor] [Orbot],Tor-Relais
Torbutton,Noun,,
Touch ID,Noun,[Signal] Specific to iOS,
Trademark,Noun,,
Twitter,,,
Two-Factor,Noun,,
UI,Noun,user interface,
URL,Noun,,URL
US $,,,
USB drive,Noun,Specifically thumbdrives used as external storage.,USB-Speicherstick
USB stick,Noun,,
UpdateVM,Noun,[QubesOS],
Uploaded,Adjective,[Globaleaks],hochgeladen
UsbVM,Noun,[QubesOS],
Usually,,,
VM,Noun,"""virtual machine""",
VPN,,,
VPN,Noun,"A virtual private network is a method for connecting your computer securely to the network of an organization on the other side of the Internet. When you use a VPN, all of your computer's Internet communications is packaged together, encrypted and then relayed to this other organization, where it is decrypted, unpacked, and then sent on to its destination. To the organization's network, or any other computer on the wider Internet, it looks like your computer's request is coming from inside the organization, not from your location. VPNs are used by businesses to provide secure access to internal resources (like file servers or printers). They are also used by individuals to bypass local censorship, or defeat local surveillance.
Synonyms: Virtual Private Network
Source: EFF",
VPNs,,,
Vanilla Bridges,,,
Vidalia,Noun,,
Virtual Machine (VM),Noun,"A software implementation of a machine (for example, a computer) which executes programs like a physical machine.",
Virtual Private Network (VPN),Noun,"A virtual private network is a method for connecting your computer securely to the network of an organization on the other side of the Internet. When you use a VPN, all of your computer's Internet communications is packaged together, encrypted and then relayed to this other organization, where it is decrypted, unpacked, and then sent on to its destination. To the organization's network, or any other computer on the wider Internet, it looks like your computer's request is coming from inside the organization, not from your location. VPNs are used by businesses to provide secure access to internal resources (like file servers or printers). They are also used by individuals to bypass local censorship, or defeat local surveillance. (Synonyms: VPN) (Source: EFF)",
"Virtual Private Network, VPN",Noun,"[Orbot] A virtual private network is a method for connecting your computer securely to the network of an organization on the other side of the Internet. When you use a VPN, all of your computer's Internet communications is packaged together, encrypted and then relayed to this other organization, where it is decrypted, unpacked, and then sent on to its destination. To the organization's network, or any other computer on the wider Internet, it looks like your computer's request is coming from inside the organization, not from your location. VPNs are used by businesses to provide secure access to internal resources (like file servers or printers). They are also used by individuals to bypass local censorship, or defeat local surveillance. (Synonyms: Virtual Private Network) (Source: EFF)",
Virtual Private Server (VPS),Noun,Virtual Private Server,
VoIP Call,Noun,,
Voice over IP (VoIP),Noun,"Any technology that allows you to use the Internet for voice communication with other VoIP users or receive telephone calls over the Internet.
Synonyms: VoIP.
Source EFF.",
WAN,Noun,,
Warning!,Interjection,ex: “Warning! Selecting 'OK' will permanently delete all files”,Achtung
Web-based proxy,Noun,"A website that lets its users access other, blocked or censored websites. Generally, the web proxy will let you type a web address (or URL) onto a web page, and then redisplay that web address on the proxy page. Easier to use than most other censorship-circumventing services.
Source EFF.",
WebApp,Noun,,
Welcome,Noun,,
WhisperBack,Noun,,
WiFi,Noun,,
Windows,Noun,Operating system,Windows
Work,Verb,,
World Wide Web,Noun,,
XMPP,Noun,"Copy of data, updated regularly or not, in order to allow restoration in case of data loss.
It can be stored locally, on the cloud or on a removable medium such as an optical disk or USB drive. This last option allows backups to be stored away safely. [Signal]",
XSS,Noun,,
XXL,,,
YYYY,Noun,“Year” Indicates that user must input a 4-digit year (ex: 1990),
Zip,,,
about,Preposition,"[Globaleaks] As in, the “About” section of a website or application.",Über
academic,,,
accept,Verb,[Signal],annehmen
access,Noun,,Zugang
access,Verb,,zugriff
access mode,Noun,,Zugangsmodus
access token,Noun,"[Martus]
Short identification number used to add Contacts to your Martus account.",Zugangsnummer
accessibility,Noun,,
account,Noun,,Konto
account recovery,Noun,,Kontowiederherstellung
account recovery code,Noun,,Kontowiederherstellungscode
accountability,Noun,,Zurechenbarkeit
accounting,,,
acknowledge,Verb,"An acknowledgment in Peerio is similar to a message, but sends a ""thumbs up"" icon with no additional text. The thumbs-up icon is referred to as an ""acknowledgment""",bestätigen
acknowledged,Adjective,"An acknowledgment in Peerio is similar to a message, but sends a ""thumbs up"" icon with no additional text. The thumbs-up icon is referred to as an ""acknowledgment""",bestätigt
acknowledgment,Noun,"American English — A button in Peerio that functions similar to a message, but sends a ""thumbs up"" icon with a timestamp. The thumbs-up icon is referred to as an ""acknowledgment""",Bestätigung
acquire,Verb,,erhalten
activate,Verb,[Orbot],
active,Adjective,,aktiv
activists,,,
activity,,,
activity,Noun,,Aktivität
ad provider,Noun,[Psiphon 3],
ad-blocker,Noun,,Werbeblocker
add,Verb,,hinzufügen
add-on,Noun,"A piece of software that modifies another software application, changing how it works or what it can do. Often add-ons can add privacy or security features to web browsers or email software. Some add-ons are malware, so be careful to install only those that are reputable and from official sources. (Synonyms: extensions, plugins) (Source: EFF)",Erweiterung
add-ons,Noun,,
added,Adjective,,hinzugefügt
address,Noun,,Adresse
address,Verb,"(1) To address a situation
Synonyms:  to fix, to take care of

(2) Give to data or a data set an address in memory

(3) If a letter, envelope, or parcel is addressed to you, your name and address have been written on it.",
address bar,Noun,,Adressleiste
address book,Noun,,Adressbuch
admin,Noun,,
administrative,,,
administrators,Noun,,
advance,,,
advanced,Adjective,,erweitert
advanced,Noun,it is a noun?,
advanced search,Noun,[Martus],
advanced user,Noun,,
adversary,Noun,"Your adversary is the person or organization attempting to undermine your security goals. Adversaries can be different, depending on the situation. For instance, you may worry about criminals spying on the network at a cafe, or your classmates at a school. Often the adversary is hypothetical.
Source EFF.",Angreifer
agenda notes,Noun,,
agent,Noun,,
air gap,Noun,"A computer or network that is physically isolated from all other networks, including the Internet, is said to be air-gapped.
Source EFF.

An air gap, air wall or air gapping is a network security measure employed on one or more computers to ensure that a secure computer network is physically isolated from unsecured networks, such as the public Internet or an unsecured local area network. The name arises from the technique of creating a network that is physically separated from all other networks.
Source Wikipedia",
air-gapped (air gapped),Adjective,,vom Netz getrennten
airline miles,,,
airlines miles,,,
alpha,Noun,,Alpha
alternate,Adjective,,alternativ
alternate,Noun,,
alternative,Adjective,,
alternative,Noun,,
ambiguous,Adjective,,mehrdeutig
and/or,Conjunction,,und/oder
anomaly,Noun,[Globaleaks],Anomalie
anonymity,,,
anonymity,Noun,[Orbot],Anonymität
anonymization,Noun,"""It is the process of either encrypting or removing personally identifiable information from data sets, so that the people whom the data describe remain anonymous."" (Source: https://en.wikipedia.org/wiki/Data_anonymization)",Anonymisierung
anonymize,Verb,"[Orbot] To encrypt or remove personally identifiable information from data sets, so that the people whom the data describe remain anonymous. (Source: https://en.wikipedia.org/wiki/Data_anonymization) [Signal]",anonymisieren
anonymizing,,,
anonymous,,,
anonymous,Adjective,[Orbot],anonym
anonymously,,,
anti-censorship,,,
antivirus,Noun,"Software that attempts to protect a device from being taken over by malicious software (or “malware""). Viruses were some of the first and most prevalent forms of malware; they were named viruses to reflect the way they would spread from device to device. These days most antivirus software concentrate on warning you if you look to be downloading a suspicious file from an external source, and examining files on your computer to see if they match the software's idea of what malware looks like.
Anti-virus software can only recognize malware if it is substantially similar to samples that the anti-virus developer has already analyzed. This makes it far less effective at combating targeted malware designed to infiltrate a particular community or person, rather than more widespread strains of malware. Some advanced malware can also actively attack or conceal itself from antivirus software.
Source EFF.",Antivirus
anyone,,,
app,Noun,"[Orbot] Abbreviation of ""application."" (Synonyms: application)",App
app switcher,Noun,[Signal] Specific to iOS,
application,Noun,"[Orbot] An application program (app or application for short) is a computer program designed to perform a group of coordinated functions, tasks, or activities for the benefit of the user. (Source: https://en.wikipedia.org/wiki/Application_software) [Signal]",Anwendung
apply,Verb,,anwenden
appreciates,,,
approach,Noun,,annähern
approve,Verb,,annehmen
archive,Noun,"An archive file is a file that is composed of one or more computer files along with metadata. Archive files are used to collect multiple data files together into a single file for easier portability and storage, or simply to compress files to use less storage space.
https://en.wikipedia.org/wiki/Archive_file",Archiv
archive,Verb,[Signal],archivieren
argument,Noun,,
arrive,Verb,,ankommen
article,Noun,,Artikel
as root,Noun,,
asset,Noun,"In threat modeling, any piece of data or a device that needs to be protected.
Source EFF.",
asymmetric-key encryption,Noun,"Traditional encryption systems use the same secret, or key, to encrypt and decrypt a message. So if I encrypted a file with the password ""bluetonicmonster"", you would need both the file and the secret ""bluetonicmonster"" to decode it. Public key encryption uses two keys: one to encrypt, and another to decrypt. This has all kinds of useful consequences. For one, it means that you can hand out the key to encrypt messages to you, and as long as you keep the other key secret, anyone with that key can talk to you securely. The key you hand out widely is known as the ""public key"": hence the name of the technique. Public key encryption is used to encrypt email and files by Pretty Good Privacy (PGP), OTR for  messaging, and SSL/TLS for web browsing.
Synonyms: Public key encryption, Public key cryptography. (Source EFF)",
at the Heart of Internet Freedom,,,
attach,Verb,To attach a file to a message,anhängen
attachment,Noun,[Signal] File sent together with an email or other electronic message.,Anhang
attack,Noun,"In computer security, an attack is a method that can be used to compromise security, or its actual use. An attacker is the person or organization using an attack. An attack method is sometimes called an ""exploit.""
Source EFF.",Angriff
attacker,Noun,,Angreifer
audio,Adjective,[Signal],
audio,Noun,,Ton
auth token,Noun,[Orbot],
authenticate,Verb,,bestätigen
authenticated,Adjective,,bestätigt
authentication,Noun,[Signal],
authentication ,Noun,[Signal],Bestätigung
author,Noun,,Autor
authorize,Verb,,gestatten
automated traffic,Noun,,
autonomous system number,Noun,,
availability,,,
availability,Noun,,
available,Adjective,,verfügbar
avatar,Noun,"A computer generated visual icon used as an alternative digital fingerprint. aka ""identicon"". [Signal]",Avatar
back,,,
back,Noun,As in “Back” button,zurück
back,Verb,,
back up,Verb,,
background,Noun,Screen surface where text and graphic elements are displayed,Hintergrund
backlog,Noun,Delayed processing of some sort,
backup,Noun,"[Signal] [Orbot] Copy of data, updated regularly or not, in order to allow restoration in case of data loss.
It can be stored locally, on the cloud or on a removable medium such as an optical disk or USB drive. This last option allows backups to be stored away safely.",Datensicherung
badge,Noun,[Signal],
balance,Noun,What is left to be paid or recovered.,Kontostand
bandwidth,Noun,[Orbot],Bandbreite
bank fees,,,
bar,Noun,,Leiste
bar chart,Noun,,
bare-metal,Adjective,,
base,,,
batch select,Noun,[Signal],
battery,Noun,,Batterie
be careful,,,
best-effort delivery,Noun,,
beta,Noun,,Beta
big data,Noun,,
billing,,,
binaries,Noun,,Programmdateien
binary,Noun,"Binary file.
8-bit encoded data file using only 0 and 1, different from ASCII which is 7-bit encoded.",Programmdatei
block,,,
block,Noun,,
block,Verb,[Signal],
blocked,Adjective,,blockiert
blocked access,Noun,,blockierter Zugang
blockfile,Noun,[I2P] http://www.i2p2.de/blockfile.html,
blocking,Noun,"Synonyms: filtering, censoring Internet traffic.",
blocking resistant,Adjective,,
blog,Noun,,Blog
blog post,Noun,"Short text posted to a blog, the content of which is left entirely to the discretion of the author.",Blogeintrag
blogging,Noun,Posting to a blog and updating it regularly.,
body,Noun,,Textkörper
bookmark,Noun,,Lesezeichen
boolean,Adjective,,boolesche(r)(s)
boolean,Noun,,
boot,Noun,[Orbot],
boot,Verb,[Orbot],Systemstart
bootable,Adjective,,
bootloader,Noun,,
bot,Noun,,
botnet,Noun,,
bounce,Verb,,
bouncing,,,
bounty,Noun,,Prämie
box,Noun,,Kästchen
break in,Noun,,Einbruch
bridge,Noun,[Orbot] [Tor],Brücke
bridge,Verb,[Tor],überbrücken
bridge line,Noun,[Tor] a line with the bridge configuration,
bridge relay,Noun,[Tor],
bridge type,Noun,[Tor],
broad range,,,
broadcast,Verb,[Signal],
browse,Verb,[Orbot],durchsuchen
browser,,,
browser,Noun,web browser,Browser
browser fingerprint,Noun,"The various properties of your web browser or computer that a web site can notice when you visit. They may be slightly different from other browsers or computers, which can be a way to recognize you even if you didn't log in, even if your computer doesn't save cookies, and even if you connect to the Internet from a different network in the future. For example, you might be the only person who uses a particular site from a device set to a particular language, with a particular screen size, and using a particular web browser version; then the site could realize that it's you whenever you visit, even if you don't do anything to reveal your identity.
Source EFF.",Browser Fingerabdruck
browsing,,,
buffer,Noun,,Puffer
bug,Noun,,Fehler
bug report,Noun,[Signal],Fehlermeldung
bundle,Noun,,Bündel
bundled,Adjective,,gebündelt
burden,,,
burner phone,Noun,"A phone that is not connected to your identity, is only used for a small set of calls or activities, and can be discarded if and when it is suspected of being tracked or compromised. Burner phones are often pre-paid mobile phones bought with cash. (Synonyms: Throwaway)
(Source: EFF)",Wegwerfhandy
button,Noun,,Schaltfläche
by,Adverb,,
bypass,Verb,,vorbeikommen
bytes,Noun,[Globaleaks],Bytes
cache,Noun,,
cache,Verb,,
cache-busting,Noun,,
calendar,Noun,,
camera,Noun,,
cams,,,
can,Verb,,
cancel,Verb,[Signal],abbrechen
cannot,Verb,,
capability,Noun,"The capability of an attacker (in the context of an attack) is what it is able to do to achieve its aims. For example, a country's security services might have the capability to listen to telephone calls while a neighbor may have the capability to watch you from their window. To say that an attacker “has"" a capability does not mean that they will necessarily use that capability. It does mean that you should consider and prepare for the possibility.
Source EFF.",
car documents,Noun,[Umbrella],
carjacking,Noun,,
carry,,,
case management,Noun,[GlobaLeaks],
cash,,,
cc,Noun,“carbon copy”,
censor,,,
censored,,,
censored,Adjective,,
censorship,,,
censorship,Noun,[Signal],
cerificate,,,
certificate,Noun,,Zertifikat
certificate,Verb,To give a certificate,beglaubigen
certificate authority,Noun,,
certificate chain,Noun,[Globaleaks],Zertifikatskette
certificate chain file,Noun,[Globaleaks],
certificates,Noun,"Is it needed, the plural form defined here? The singular already exists.",Zertifikate
chain,Noun,,Kette
change,Verb,,
change log,Noun,,
charges,,,
chart,Noun,,
chat,Noun,[Signal],Unterhaltung
chat,Verb,[Signal],
check,Verb,,überprüfen
checking,,,
checkpoint,Noun,,
checksum,Noun,,
choke,Verb,,
chokepoint,Noun,,
choker,Noun,,
choose,Verb,,
choose ,Verb,,
chronic stress,Noun,,
cipher,Noun,,
ciphertext,Noun,,Geheimtext
circuit,Noun,[Orbot],Schaltkreis
circuits,,,
circuits,Noun,,
circumvent,Verb,[Orbot],umgehen
circumvention,Noun,[Signal] [Orbot],Umgehung
clear,Verb,[Signal] [Orbot],Löschen
cleartext,Noun,,Klartext
click,Noun,,
click,Verb,[Signal],anklicken
click and hold,Verb,,anklicken und halten
clickjacking attack,Noun,,
client,Noun,"[Signal] [Orbot] As in ""desktop client"" or ""Android client.""",Programm
clipboard,Noun,[Signal],
clock skew,Noun,,
close,Verb,,schließen
cloud,,,
cloud server,Noun,[Orbot],
cloud storage,Noun,,Cloud-Speicher
coarse data,Noun,Unprocessed data,
code,Noun,,
codec,Noun,,Codec
collected,,,
collection,,,
collection,Noun,,
collusion,Noun,,
collusion attack,Noun,,
color,Noun,,
column,Noun,,Spalte
command,Noun,,Befehl
command and control server,Noun,"A command and control server (C&C or C2) is a computer that gives orders to malware-infected devices and receives information from those devices. Some C&C servers control millions of devices.
Synonyms: C&C, C2.
Source EFF.",
command line,Noun,,Kommandozeile
comment,Noun,[Globaleaks],
commercial VPN,Noun,"A commercial Virtual Private Network is a private service that offers to securely relay your Internet communications via their own network. The advantage of this is that all of the data you send and receive is hidden from local networks, so it is safer from nearby criminals, or untrusted local ISPs or cybercafes. A VPN may be hosted in a foreign country, which is useful both for protecting communications from a local government, and bypassing national censorship. The down side is that most of the traffic is decrypted at the commercial VPN's end. That means you need to trust the commercial VPN (and the country where it is located) not to snoop on your traffic.
Source EFF.",
communicate,Verb,,"kommunizieren, mitteilen"
communication,,,
communication,Noun,,
community,,,
community,Noun,,Community
community center,Noun,,Community-Center
companies,,,
compartmentalization,Noun,,
